,,capex-t-亿元,capex-0-亿元,装机量-t-gwh,装机量-0-gwh,车辆数-万辆,带电量-kwh/块,电池数-块/辆,电池价格-元/kwh,t/0放大倍数,,,,,,,,,,
重卡,,1008.9,302.67,171,51.3,12,171,2.5,590,3.333333333,,,,,,,,,,
乘用营运车,,925.12,185.024,156.8,31.36,56,56,1,590,5,,,,,,,,,,
私家车,,,,,,,,,,,,,,,,,,,,
营运车,,,,,,,,,,,,,,,,,,,,
乘用车,,,,,,,,,,,,,,,,,,,,
