Source: IEA. Licence: CC BY 4.0
This data is subject to the IEA's terms and conditions: https://www.iea.org/t_c/termsandconditions/
Units: million vehicles
; PLDVs - BEV ; PLDVs - PHEV ; LCVs - BEV ; LCVs - PHEV ; Buses - BEV ; Buses - PHEV ; Trucks - BEV ; Trucks - PHEV 
2025;53;26;1.3;0.1;0.7;0.04;1.3;0.04
CPS ;159;70;7.5;0.59;1.7;0.05;4.7;0.06
STEPS ;162;70;7.5;0.55;1.9;0.06;4.8;0.13
CPS ;341;108;19.8;1.2;2.4;0.05;9.3;0.07
STEPS ;359;114;20.8;1.25;3.5;0.06;10;0.32
